Freq.	V(n001)/I(C)
1.00000000000000e+001	4.70000000000000e+002,-2.34051386899846e+004
1.02329299228075e+001	4.70000000000000e+002,-2.28723726894859e+004
1.04712854805090e+001	4.70000000000000e+002,-2.23517339237388e+004
1.07151930523761e+001	4.70000000000000e+002,-2.18429463431782e+004
1.09647819614319e+001	4.70000000000000e+002,-2.13457401818943e+004
1.12201845430196e+001	4.70000000000000e+002,-2.08598518145992e+004
1.14815362149688e+001	4.70000000000000e+002,-2.03850236168490e+004
1.17489755493953e+001	4.70000000000000e+002,-1.99210038284480e+004
1.20226443461741e+001	4.70000000000000e+002,-1.94675464199626e+004
1.23026877081238e+001	4.70000000000000e+002,-1.90244109622725e+004
1.25892541179417e+001	4.70000000000000e+002,-1.85913624990925e+004
1.28824955169313e+001	4.70000000000000e+002,-1.81681714223952e+004
1.31825673855641e+001	4.70000000000000e+002,-1.77546133506703e+004
1.34896288259165e+001	4.70000000000000e+002,-1.73504690099539e+004
1.38038426460288e+001	4.70000000000000e+002,-1.69555241175673e+004
1.41253754462275e+001	4.70000000000000e+002,-1.65695692685007e+004
1.44543977074593e+001	4.70000000000000e+002,-1.61923998243844e+004
1.47910838816821e+001	4.70000000000000e+002,-1.58238158049868e+004
1.51356124843621e+001	4.70000000000000e+002,-1.54636217821819e+004
1.54881661891248e+001	4.70000000000000e+002,-1.51116267763312e+004
1.58489319246111e+001	4.70000000000000e+002,-1.47676441550233e+004
1.62181009735893e+001	4.70000000000000e+002,-1.44314915341193e+004
1.65958690743756e+001	4.70000000000000e+002,-1.41029906810501e+004
1.69824365246174e+001	4.70000000000000e+002,-1.37819674203151e+004
1.73780082874937e+001	4.70000000000000e+002,-1.34682515411322e+004
1.77827941003892e+001	4.70000000000000e+002,-1.31616767071899e+004
1.81970085860998e+001	4.70000000000000e+002,-1.28620803684530e+004
1.86208713666287e+001	4.70000000000000e+002,-1.25693036749773e+004
1.90546071796325e+001	4.70000000000000e+002,-1.22831913926845e+004
1.94984459975804e+001	4.70000000000000e+002,-1.20035918210554e+004
1.99526231496888e+001	4.70000000000000e+002,-1.17303567126960e+004
2.04173794466953e+001	4.70000000000000e+002,-1.14633411947354e+004
2.08929613085404e+001	4.70000000000000e+002,-1.12024036920115e+004
2.13796208950223e+001	4.70000000000000e+002,-1.09474058520064e+004
2.18776162394955e+001	4.70000000000000e+002,-1.06982124714901e+004
2.23872113856834e+001	4.70000000000000e+002,-1.04546914248338e+004
2.29086765276777e+001	4.70000000000000e+002,-1.02167135939551e+004
2.34422881531992e+001	4.70000000000000e+002,-9.98415279985818e+003
2.39883291901949e+001	4.70000000000000e+002,-9.75688573573159e+003
2.45470891568503e+001	4.70000000000000e+002,-9.53479190156973e+003
2.51188643150958e+001	4.70000000000000e+002,-9.31775354028197e+003
2.57039578276886e+001	4.70000000000000e+002,-9.10565557525632e+003
2.63026799189538e+001	4.70000000000000e+002,-8.89838554934427e+003
