phi in rad;phi in grad;Ipp in mA;|z| in kOhm;|y| in mS;Re(z) in kOhm;Im(z) in kOhm;Re(y) in mS;Im(y) in mS
1,357;77,76;6,298;2,248;0,445;0,477;-2,197;0,094;0,435
1,206;69,12;11,404;1,221;0,819;0,435;-1,14;0,292;0,765
1,018;58,32;15,319;0,898;1,113;0,472;-0,764;0,585;0,947
0,905;51,84;18,043;0,754;1,327;0,466;-0,593;0,82;1,043
0,804;46,08;20,085;0,665;1,503;0,461;-0,479;1,043;1,083
0,724;41,472;21,617;0,614;1,628;0,46;-0,407;1,22;1,078
0,651;37,296;22,638;0,58;1,725;0,461;-0,351;1,373;1,046
0,583;33,408;23,66;0,555;1,803;0,463;-0,305;1,505;0,993
0,543;31,104;24;0,547;1,829;0,468;-0,282;1,566;0,945
0,503;28,8;24,511;0,535;1,868;0,469;-0,258;1,637;0,9
