time	V(n001)	V(n002)	V(n003)	-I(R1)	I(C1)	I(C2)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000	0.000000e+000	0.000000e+000
4.862923680054299e-010	9.725848e-001	3.795748e-006	-2.194373e-011	9.725810e-004	9.725770e-004	3.795770e-009
9.725847360108599e-010	1.945170e+000	1.191486e-005	3.002992e-011	1.945158e-003	1.945145e-003	1.191483e-008
1.458877104016290e-009	2.917754e+000	2.435735e-005	1.559209e-010	2.917730e-003	2.917705e-003	2.435719e-008
1.945169472021720e-009	3.890339e+000	4.112320e-005	3.557294e-010	3.890298e-003	3.890256e-003	4.112285e-008
2.431461840027149e-009	4.862924e+000	6.221243e-005	6.294551e-010	4.862862e-003	4.862799e-003	6.221180e-008
2.917754208032580e-009	5.835508e+000	8.762502e-005	9.770983e-010	5.835421e-003	5.835333e-003	8.762404e-008
3.404046576038009e-009	6.808093e+000	1.173610e-004	1.398659e-009	6.807976e-003	6.807859e-003	1.173596e-007
3.997601184033182e-009	7.995203e+000	1.627795e-004	2.290480e-009	7.995040e-003	7.994877e-003	1.627772e-007
5.000000000000000e-009	1.000000e+001	2.499926e-004	4.219352e-009	9.999750e-003	9.999500e-003	2.499883e-007
1.222949814512031e-007	1.000000e+001	1.196148e-002	9.031323e-006	9.988039e-003	9.976086e-003	1.195245e-005
2.395899629024061e-007	1.000000e+001	2.363909e-002	3.494867e-005	9.976361e-003	9.952757e-003	2.360414e-005
3.568849443536092e-007	1.000000e+001	3.528281e-002	7.775627e-005	9.964717e-003	9.929513e-003	3.520505e-005
4.741799258048122e-007	1.000000e+001	4.689265e-002	1.374541e-004	9.953107e-003	9.906353e-003	4.675519e-005
5.914749072560153e-007	1.000000e+001	5.846861e-002	2.140422e-004	9.941531e-003	9.883277e-003	5.825456e-005
7.087698887072183e-007	1.000000e+001	7.001068e-002	3.075205e-004	9.929989e-003	9.860286e-003	6.970316e-005
8.260648701584211e-007	1.000000e+001	8.151887e-002	4.178891e-004	9.918481e-003	9.837380e-003	8.110098e-005
1.647229980198439e-006	1.000000e+001	1.614230e-001	1.519437e-003	9.838577e-003	9.678674e-003	1.599035e-004
2.623792480198439e-006	1.000000e+001	2.549650e-001	3.563789e-003	9.745035e-003	9.493634e-003	2.514012e-004
3.600354980198439e-006	1.000000e+001	3.467937e-001	6.453153e-003	9.653206e-003	9.312866e-003	3.403405e-004
4.576917480198439e-006	1.000000e+001	4.368781e-001	1.019837e-002	9.563122e-003	9.136442e-003	4.266798e-004
5.553479980198439e-006	1.000000e+001	5.252604e-001	1.477437e-002	9.474739e-003	8.964254e-003	5.104861e-004
6.530042480198439e-006	1.000000e+001	6.119814e-001	2.015675e-002	9.388018e-003	8.796195e-003	5.918246e-004
7.506604980198439e-006	1.000000e+001	6.970808e-001	2.632171e-002	9.302920e-003	8.632161e-003	6.707591e-004
8.483167480198438e-006	1.000000e+001	7.805974e-001	3.324608e-002	9.219402e-003	8.472051e-003	7.473514e-004
9.459729980198439e-006	1.000000e+001	8.625692e-001	4.090727e-002	9.137431e-003	8.315769e-003	8.216620e-004
1.043629248019844e-005	1.000000e+001	9.430330e-001	4.928331e-002	9.056967e-003	8.163217e-003	8.937497e-004
1.141285498019844e-005	1.000000e+001	1.022025e+000	5.835275e-002	8.977976e-003	8.014304e-003	9.636721e-004
1.238941748019844e-005	1.000000e+001	1.099580e+000	6.809473e-002	8.900421e-003	7.868935e-003	1.031485e-003
1.336597998019844e-005	1.000000e+001	1.175732e+000	7.848891e-002	8.824268e-003	7.727025e-003	1.097243e-003
1.434254248019844e-005	1.000000e+001	1.250515e+000	8.951548e-002	8.749485e-003	7.588486e-003	1.160999e-003
1.531910498019844e-005	1.000000e+001	1.323961e+000	1.011551e-001	8.676039e-003	7.453234e-003	1.222805e-003
1.727222998019845e-005	1.000000e+001	1.466968e+000	1.261991e-001	8.533033e-003	7.192263e-003	1.340769e-003
1.922535498019845e-005	1.000000e+001	1.604998e+000	1.534761e-001	8.395002e-003	6.943481e-003	1.451521e-003
2.117847998019845e-005	1.000000e+001	1.738282e+000	1.828490e-001	8.261718e-003	6.706284e-003	1.555433e-003
2.410816748019845e-005	1.000000e+001	1.929792e+000	2.305553e-001	8.070208e-003	6.370971e-003	1.699237e-003
2.703785498019845e-005	1.000000e+001	2.111818e+000	2.822746e-001	7.888181e-003	6.058638e-003	1.829544e-003
3.010705140876989e-005	1.000000e+001	2.291632e+000	3.411651e-001	7.708368e-003	5.757902e-003	1.950466e-003
3.317624783734132e-005	1.000000e+001	2.463895e+000	4.027965e-001	7.536105e-003	5.475007e-003	2.061098e-003
3.624544426591275e-005	1.000000e+001	2.628608e+000	4.671687e-001	7.371392e-003	5.209953e-003	2.161439e-003
3.931464069448418e-005	1.000000e+001	2.785771e+000	5.342819e-001	7.214229e-003	4.962739e-003	2.251489e-003
4.238383712305562e-005	1.000000e+001	2.935385e+000	6.041360e-001	7.064615e-003	4.733367e-003	2.331249e-003
4.545303355162705e-005	1.000000e+001	3.077448e+000	6.767310e-001	6.922552e-003	4.521835e-003	2.400717e-003
4.852222998019847e-005	1.000000e+001	3.211961e+000	7.520669e-001	6.788039e-003	4.328144e-003	2.459894e-003
5.340504248019848e-005	1.000000e+001	3.413309e+000	8.758219e-001	6.586691e-003	4.049203e-003	2.537487e-003
5.828785498019848e-005	1.000000e+001	3.604434e+000	1.001513e+000	6.395566e-003	3.792645e-003	2.602921e-003
6.317066748019849e-005	1.000000e+001	3.785335e+000	1.129140e+000	6.214666e-003	3.558471e-003	2.656194e-003
6.805347998019850e-005	1.000000e+001	3.956012e+000	1.258703e+000	6.043988e-003	3.346680e-003	2.697308e-003
7.293629248019850e-005	1.000000e+001	4.116465e+000	1.390203e+000	5.883535e-003	3.157272e-003	2.726263e-003
7.781910498019851e-005	1.000000e+001	4.266695e+000	1.523638e+000	5.733305e-003	2.990248e-003	2.743057e-003
8.270191748019850e-005	1.000000e+001	4.406702e+000	1.659010e+000	5.593298e-003	2.845607e-003	2.747692e-003
8.870080140876993e-005	1.000000e+001	4.570231e+000	1.824871e+000	5.429769e-003	2.684409e-003	2.745360e-003
9.469968533734137e-005	1.000000e+001	4.726555e+000	1.989464e+000	5.273444e-003	2.536353e-003	2.737091e-003
1.006985692659128e-004	1.000000e+001	4.875675e+000	2.152790e+000	5.124324e-003	2.401439e-003	2.722886e-003
1.066974531944842e-004	1.000000e+001	5.017591e+000	2.314848e+000	4.982409e-003	2.279666e-003	2.702743e-003
1.126963371230557e-004	1.000000e+001	5.152302e+000	2.475638e+000	4.847698e-003	2.171034e-003	2.676664e-003
1.186952210516271e-004	1.000000e+001	5.279808e+000	2.635160e+000	4.720191e-003	2.075543e-003	2.644649e-003
1.246941049801985e-004	1.000000e+001	5.400110e+000	2.793414e+000	4.599890e-003	1.993194e-003	2.606696e-003
1.330646406944843e-004	1.000000e+001	5.560505e+000	3.009765e+000	4.439495e-003	1.888755e-003	2.550740e-003
1.414351764087700e-004	1.000000e+001	5.714296e+000	3.221001e+000	4.285704e-003	1.792409e-003	2.493295e-003
1.498057121230557e-004	1.000000e+001	5.861484e+000	3.427122e+000	4.138516e-003	1.704153e-003	2.434363e-003
1.581762478373414e-004	1.000000e+001	6.002069e+000	3.628127e+000	3.997931e-003	1.623989e-003	2.373942e-003
1.665467835516272e-004	1.000000e+001	6.136050e+000	3.824017e+000	3.863950e-003	1.551917e-003	2.312033e-003
1.749173192659129e-004	1.000000e+001	6.263427e+000	4.014791e+000	3.736573e-003	1.487937e-003	2.248636e-003
1.832878549801986e-004	1.000000e+001	6.384202e+000	4.200451e+000	3.615798e-003	1.432047e-003	2.183751e-003
1.969597299801986e-004	1.000000e+001	6.571813e+000	4.490853e+000	3.428187e-003	1.347227e-003	2.080960e-003
2.106316049801986e-004	1.000000e+001	6.750271e+000	4.768603e+000	3.249729e-003	1.268062e-003	1.981667e-003
2.243034799801986e-004	1.000000e+001	6.919575e+000	5.033702e+000	3.080425e-003	1.194552e-003	1.885873e-003
2.379753549801987e-004	1.000000e+001	7.079726e+000	5.286149e+000	2.920274e-003	1.126697e-003	1.793577e-003
2.516472299801987e-004	1.000000e+001	7.230724e+000	5.525945e+000	2.769276e-003	1.064497e-003	1.704779e-003
2.653191049801987e-004	1.000000e+001	7.372569e+000	5.753090e+000	2.627431e-003	1.007953e-003	1.619479e-003
2.789909799801987e-004	1.000000e+001	7.505260e+000	5.967583e+000	2.494740e-003	9.570633e-004	1.537677e-003
3.008938817659130e-004	1.000000e+001	7.703105e+000	6.286326e+000	2.296895e-003	8.801155e-004	1.416779e-003
3.227967835516273e-004	1.000000e+001	7.887706e+000	6.583904e+000	2.112294e-003	8.084914e-004	1.303803e-003
3.446996853373416e-004	1.000000e+001	8.059063e+000	6.860316e+000	1.940937e-003	7.421911e-004	1.198746e-003
3.666025871230560e-004	1.000000e+001	8.217175e+000	7.115564e+000	1.782825e-003	6.812144e-004	1.101611e-003
3.885054889087703e-004	1.000000e+001	8.362043e+000	7.349647e+000	1.637957e-003	6.255614e-004	1.012396e-003
4.104083906944845e-004	1.000000e+001	8.493666e+000	7.562565e+000	1.506334e-003	5.752321e-004	9.311016e-004
4.323112924801988e-004	1.000000e+001	8.612045e+000	7.754317e+000	1.387954e-003	5.302265e-004	8.577280e-004
4.419746792687418e-004	1.000000e+001	8.662191e+000	7.835439e+000	1.337809e-003	5.110573e-004	8.267516e-004
4.516380660572848e-004	1.000000e+001	8.710671e+000	7.913869e+000	1.289328e-003	4.925262e-004	7.968021e-004
4.613014528458279e-004	1.000000e+001	8.757487e+000	7.989608e+000	1.242513e-003	4.746332e-004	7.678795e-004
4.709648396343709e-004	1.000000e+001	8.802638e+000	8.062654e+000	1.197362e-003	4.573782e-004	7.399837e-004
4.806282264229139e-004	1.000000e+001	8.846124e+000	8.133009e+000	1.153876e-003	4.407614e-004	7.131148e-004
4.902916132114570e-004	1.000000e+001	8.887945e+000	8.200672e+000	1.112055e-003	4.247826e-004	6.872728e-004
4.999550000000000e-004	1.000000e+001	8.928101e+000	8.265643e+000	1.071900e-003	4.094420e-004	6.624577e-004
4.999600000000000e-004	0.000000e+000	8.927868e+000	8.265676e+000	-8.927869e-003	-9.590060e-003	6.621925e-004
5.010310821428609e-004	0.000000e+000	8.826594e+000	8.272013e+000	-8.826594e-003	-9.381174e-003	5.545804e-004
5.021021642857217e-004	0.000000e+000	8.727353e+000	8.277318e+000	-8.727352e-003	-9.177387e-003	4.500348e-004
5.031732464285825e-004	0.000000e+000	8.630145e+000	8.281589e+000	-8.630144e-003	-8.978700e-003	3.485559e-004
5.042443285714433e-004	0.000000e+000	8.534970e+000	8.284826e+000	-8.534969e-003	-8.785113e-003	2.501436e-004
5.053154107143041e-004	0.000000e+000	8.441828e+000	8.287030e+000	-8.441827e-003	-8.596626e-003	1.547979e-004
5.063864928571650e-004	0.000000e+000	8.350720e+000	8.288201e+000	-8.350719e-003	-8.413238e-003	6.251876e-005
5.074575750000258e-004	0.000000e+000	8.261644e+000	8.288338e+000	-8.261644e-003	-8.234951e-003	-2.669371e-005
5.084341375000258e-004	0.000000e+000	8.181999e+000	8.287692e+000	-8.181999e-003	-8.076307e-003	-1.056921e-004
5.094107000000258e-004	0.000000e+000	8.103886e+000	8.286285e+000	-8.103886e-003	-7.921486e-003	-1.823996e-004
5.103872625000258e-004	0.000000e+000	8.027265e+000	8.284140e+000	-8.027265e-003	-7.770390e-003	-2.568752e-004
5.113638250000258e-004	0.000000e+000	7.952102e+000	8.281279e+000	-7.952102e-003	-7.622926e-003	-3.291763e-004
5.123403875000258e-004	0.000000e+000	7.878362e+000	8.277721e+000	-7.878362e-003	-7.479004e-003	-3.993589e-004
5.142935125000258e-004	0.000000e+000	7.735015e+000	8.268600e+000	-7.735015e-003	-7.201429e-003	-5.335855e-004
