ReY,       ImY
0.0008576, 0.0427084
0.000898,  0.0437024
0.0009403, 0.0447195
0.0009846, 0.0457602
0.001031,  0.0468251
0.0010796, 0.0479147
0.0011304, 0.0490296
0.0011837, 0.0501703
0.0012394, 0.0513376
0.0012978, 0.052532
0.0013589, 0.0537541
0.0014229, 0.0550045
0.0014899, 0.0562839
0.0015601, 0.0575931
0.0016336, 0.0589325
0.0017105, 0.0603031
0.0017911, 0.0617054
0.0018754, 0.0631402
0.0019637, 0.0646082
0.0020562, 0.0661103
0.002153,  0.0676471
0.0022543, 0.0692195
0.0023604, 0.0708283
0.0024716, 0.0724743
0.0025879, 0.0741584
0.0027097, 0.0758814
0.0028372, 0.0776442
0.0029708, 0.0794478
0.0031106, 0.081293
0.0032569, 0.0831809
0.0034102, 0.0851123
0.0035706, 0.0870882
0.0037386, 0.0891097
0.0039145, 0.0911778
0.0040986, 0.0932935
0.0042914, 0.0954579
0.0044932, 0.0976721
0.0047045, 0.0999373
0.0049257, 0.1022544
0.0051573, 0.1046248
0.0053997, 0.1070496
0.0056535, 0.10953
0.0059192, 0.1120673
0.0061974, 0.1146626
0.0064886, 0.1173174
0.0067934, 0.1200328
0.0071125, 0.1228102
0.0074465, 0.1256511
0.0077962, 0.1285566
0.0081622, 0.1315284
0.0085453, 0.1345678
0.0089463, 0.1376762
0.0093661, 0.1408552
0.0098055, 0.1441062
0.0102654, 0.1474308
0.0107467, 0.1508307
0.0112505, 0.1543072
0.0117778, 0.1578622
0.0123297, 0.1614971
0.0129072, 0.1652137
0.0135117, 0.1690137
0.0141442, 0.1728988
0.0148062, 0.1768707
0.0154989, 0.1809313
0.0162237, 0.1850821
0.0169822, 0.1893252
0.0177759, 0.1936623
0.0186063, 0.1980953
0.0194752, 0.202626
0.0203842, 0.2072564
0.0213353, 0.2119883
0.0223302, 0.2168237
0.0233711, 0.2217644
0.0244599, 0.2268126
0.0255987, 0.2319701
0.02679,   0.2372388
0.0280359, 0.2426208
0.029339,  0.2481181
0.0307017, 0.2537326
0.0321268, 0.2594664
0.033617,  0.2653213
