ReZ,  ImZ
0.47, -23.405139
0.47, -22.872373
0.47, -22.351734
0.47, -21.842946
0.47, -21.34574
0.47, -20.859852
0.47, -20.385024
0.47, -19.921004
0.47, -19.467546
0.47, -19.024411
0.47, -18.591362
0.47, -18.168171
0.47, -17.754613
0.47, -17.350469
0.47, -16.955524
0.47, -16.569569
0.47, -16.1924
0.47, -15.823816
0.47, -15.463622
0.47, -15.111627
0.47, -14.767644
0.47, -14.431492
0.47, -14.102991
0.47, -13.781967
0.47, -13.468252
0.47, -13.161677
0.47, -12.86208
0.47, -12.569304
0.47, -12.283191
0.47, -12.003592
0.47, -11.730357
0.47, -11.463341
0.47, -11.202404
0.47, -10.947406
0.47, -10.698212
0.47, -10.454691
0.47, -10.216714
0.47, -9.9841528
0.47, -9.7568857
0.47, -9.5347919
0.47, -9.3177535
0.47, -9.1056556
0.47, -8.8983855
0.47, -8.6958336
0.47, -8.4978922
0.47, -8.3044566
0.47, -8.1154241
0.47, -7.9306945
0.47, -7.7501698
0.47, -7.5737544
0.47, -7.4013547
0.47, -7.2328793
0.47, -7.0682389
0.47, -6.9073461
0.47, -6.7501157
0.47, -6.5964643
0.47, -6.4463105
0.47, -6.2995745
0.47, -6.1561787
0.47, -6.016047
0.47, -5.879105
0.47, -5.7452803
0.47, -5.6145017
0.47, -5.4867001
0.47, -5.3618075
0.47, -5.2397579
0.47, -5.1204864
0.47, -5.0039299
0.47, -4.8900266
0.47, -4.778716
0.47, -4.6699391
0.47, -4.5636383
0.47, -4.4597572
0.47, -4.3582408
0.47, -4.2590351
0.47, -4.1620876
0.47, -4.0673469
0.47, -3.9747628
0.47, -3.8842862
0.47, -3.795869
0.47, -3.7094645
0.47, -3.6250268
0.47, -3.5425111
0.47, -3.4618737
0.47, -3.3830718
0.47, -3.3060637
0.47, -3.2308085
0.47, -3.1572663
0.47, -3.0853982
0.47, -3.0151659
0.47, -2.9465324
0.47, -2.8794611
0.47, -2.8139166
0.47, -2.749864
0.47, -2.6872695
0.47, -2.6260998
0.47, -2.5663224
0.47, -2.5079058
0.47, -2.4508189
0.47, -2.3950314
0.47, -2.3405139
0.47, -2.2872373
0.47, -2.2351734
0.47, -2.1842946
0.47, -2.134574
0.47, -2.0859852
0.47, -2.0385024
0.47, -1.9921004
0.47, -1.9467546
0.47, -1.9024411
0.47, -1.8591362
0.47, -1.8168171
0.47, -1.7754613
0.47, -1.7350469
0.47, -1.6955524
0.47, -1.6569569
0.47, -1.61924
0.47, -1.5823816
0.47, -1.5463622
0.47, -1.5111627
0.47, -1.4767644
0.47, -1.4431492
0.47, -1.4102991
0.47, -1.3781967
0.47, -1.3468252
0.47, -1.3161677
0.47, -1.286208
0.47, -1.2569304
0.47, -1.2283191
0.47, -1.2003592
0.47, -1.1730357
0.47, -1.1463341
0.47, -1.1202404
0.47, -1.0947406
0.47, -1.0698212
0.47, -1.0454691
0.47, -1.0216714
0.47, -0.9984153
0.47, -0.9756886
0.47, -0.9534792
0.47, -0.9317754
0.47, -0.9105656
0.47, -0.8898386
0.47, -0.8695834
0.47, -0.8497892
0.47, -0.8304457
0.47, -0.8115424
0.47, -0.7930694
0.47, -0.775017
0.47, -0.7573754
0.47, -0.7401355
0.47, -0.7232879
0.47, -0.7068239
0.47, -0.6907346
0.47, -0.6750116
0.47, -0.6596464
0.47, -0.644631
0.47, -0.6299575
0.47, -0.6156179
0.47, -0.6016047
0.47, -0.5879105
0.47, -0.574528
0.47, -0.5614502
0.47, -0.54867
0.47, -0.5361808
0.47, -0.5239758
0.47, -0.5120486
0.47, -0.500393
0.47, -0.4890027
0.47, -0.4778716
0.47, -0.4669939
0.47, -0.4563638
0.47, -0.4459757
0.47, -0.4358241
0.47, -0.4259035
0.47, -0.4162088
0.47, -0.4067347
0.47, -0.3974763
0.47, -0.3884286
0.47, -0.3795869
0.47, -0.3709464
0.47, -0.3625027
0.47, -0.3542511
0.47, -0.3461874
0.47, -0.3383072
0.47, -0.3306064
0.47, -0.3230809
0.47, -0.3157266
0.47, -0.3085398
0.47, -0.3015166
0.47, -0.2946532
0.47, -0.2879461
0.47, -0.2813917
0.47, -0.2749864
0.47, -0.2687269
0.47, -0.26261
0.47, -0.2566322
0.47, -0.2507906
0.47, -0.2450819
0.47, -0.2395031
0.47, -0.2340514
0.47, -0.2287237
0.47, -0.2235173
0.47, -0.2184295
0.47, -0.2134574
0.47, -0.2085985
0.47, -0.2038502
0.47, -0.19921
0.47, -0.1946755
0.47, -0.1902441
0.47, -0.1859136
0.47, -0.1816817
0.47, -0.1775461
0.47, -0.1735047
0.47, -0.1695552
0.47, -0.1656957
0.47, -0.161924
0.47, -0.1582382
0.47, -0.1546362
0.47, -0.1511163
0.47, -0.1476764
0.47, -0.1443149
0.47, -0.1410299
0.47, -0.1378197
0.47, -0.1346825
0.47, -0.1316168
0.47, -0.1286208
0.47, -0.125693
0.47, -0.1228319
0.47, -0.1200359
0.47, -0.1173036
0.47, -0.1146334
0.47, -0.112024
0.47, -0.1094741
0.47, -0.1069821
0.47, -0.1045469
0.47, -0.1021671
0.47, -0.0998415
0.47, -0.0975689
0.47, -0.0953479
0.47, -0.0931775
0.47, -0.0910566
0.47, -0.0889839
0.47, -0.0869583
0.47, -0.0849789
0.47, -0.0830446
0.47, -0.0811542
0.47, -0.0793069
0.47, -0.0775017
0.47, -0.0757375
0.47, -0.0740135
0.47, -0.0723288
0.47, -0.0706824
0.47, -0.0690735
0.47, -0.0675012
0.47, -0.0659646
0.47, -0.0644631
0.47, -0.0629957
0.47, -0.0615618
