Freq.	I(C)/V(n001)
1.00000000000000e+001	8.57630715400407e-007,4.27084379547601e-005
1.02329299228075e+001	8.98032545965936e-007,4.37024150608952e-005
1.04712854805090e+001	9.40336810971844e-007,4.47194855266802e-005
1.07151930523761e+001	9.84633010775489e-007,4.57601830257255e-005
1.09647819614319e+001	1.03101484846912e-006,4.68250533597808e-005
1.12201845430196e+001	1.07958042647618e-006,4.79146547196486e-005
1.14815362149688e+001	1.13043245227116e-006,4.90295579506386e-005
1.17489755493953e+001	1.18367845363947e-006,5.01703468225603e-005
1.20226443461741e+001	1.23943100391180e-006,5.13376183042424e-005
1.23026877081238e+001	1.29780795762699e-006,5.25319828425603e-005
1.25892541179417e+001	1.35893269709663e-006,5.37540646459424e-005
1.28824955169313e+001	1.42293439036589e-006,5.50045019723169e-005
1.31825673855641e+001	1.48994826108577e-006,5.62839474214495e-005
1.34896288259165e+001	1.56011587083481e-006,5.75930682316098e-005
1.38038426460288e+001	1.63358541445110e-006,5.89325465804930e-005
1.41253754462275e+001	1.71051202895930e-006,6.03030798903080e-005
1.44543977074593e+001	1.79105811670249e-006,6.17053811369270e-005
1.47910838816821e+001	1.87539368331423e-006,6.31401791629788e-005
1.51356124843621e+001	1.96369669119301e-006,6.46082189947463e-005
1.54881661891248e+001	2.05615342916889e-006,6.61102621627104e-005
1.58489319246111e+001	2.15295889908075e-006,6.76470870255645e-005
1.62181009735893e+001	2.25431722001208e-006,6.92194890974972e-005
1.65958690743756e+001	2.36044205096400e-006,7.08282813785191e-005
1.69824365246174e+001	2.47155703277564e-006,7.24742946875840e-005
1.73780082874937e+001	2.58789625013455e-006,7.41583779982233e-005
1.77827941003892e+001	2.70970471455355e-006,7.58813987763871e-005
1.81970085860998e+001	2.83723886922490e-006,7.76442433201478e-005
1.86208713666287e+001	2.97076711669836e-006,7.94478171008906e-005
1.90546071796325e+001	3.11057037036614e-006,8.12930451055762e-005
1.94984459975804e+001	3.25694263077534e-006,8.31808721796199e-005
1.99526231496888e+001	3.41019158782713e-006,8.51122633698882e-005
2.04173794466953e+001	3.57063924996095e-006,8.70882042672691e-005
2.08929613085404e+001	3.73862260146260e-006,8.91097013482174e-005
2.13796208950223e+001	3.91449428907592e-006,9.11777823146287e-005
2.18776162394955e+001	4.09862333913984e-006,9.32934964313327e-005
2.23872113856834e+001	4.29139590651467e-006,9.54579148604380e-005
2.29086765276777e+001	4.49321605660517e-006,9.76721309916928e-005
2.34422881531992e+001	4.70450658183099e-006,9.99372607679555e-005
2.39883291901949e+001	4.92570985393931e-006,1.02254443004794e-004
2.45470891568503e+001	5.15728871359889e-006,1.04624839703148e-004
2.51188643150958e+001	5.39972739875853e-006,1.07049636353914e-004
2.57039578276886e+001	5.65353251329764e-006,1.09530042233195e-004
2.63026799189538e+001	5.91923403754046e-006,1.12067290686887e-004
2.69153480392691e+001	6.19738638224840e-006,1.14662639403155e-004
2.75422870333816e+001	6.48856948774836e-006,1.17317370671235e-004
2.81838293126445e+001	6.79338996989574e-006,1.20032791624877e-004
2.88403150312660e+001	7.11248231461143e-006,1.22810234468640e-004
2.95120922666638e+001	7.44651012277028e-006,1.25651056685080e-004
3.01995172040201e+001	7.79616740725495e-006,1.28556641220748e-004
3.09029543251359e+001	8.16217994402248e-006,1.31528396648755e-004
3.16227766016838e+001	8.54530667906162e-006,1.34567757305501e-004
3.23593656929628e+001	8.94634119314578e-006,1.37676183398984e-004
3.31131121482591e+001	9.36611322630896e-006,1.40855161085920e-004
3.38844156139202e+001	9.80549026398964e-006,1.44106202514722e-004
3.46736850452531e+001	1.02653791867998e-005,1.47430845831160e-004
3.54813389233575e+001	1.07467279858809e-005,1.50830655143314e-004
3.63078054770101e+001	1.12505275458079e-005,1.54307220442195e-004
3.71535229097172e+001	1.17778134969897e-005,1.57862157474170e-004
3.80189396320561e+001	1.23296681394971e-005,1.61497107561049e-004
3.89045144994280e+001	1.29072224402162e-005,1.65213737363435e-004
3.98107170553497e+001	1.35116581051838e-005,1.69013738582644e-004
4.07380277804112e+001	1.41442097289047e-005,1.72898827596180e-004
4.16869383470335e+001	1.48061670223784e-005,1.76870745021449e-004
4.26579518801592e+001	1.54988771214779e-005,1.80931255202052e-004
4.36515832240165e+001	1.62237469772132e-005,1.85082145610631e-004
4.46683592150962e+001	1.69822458292869e-005,1.89325226161879e-004
4.57088189614874e+001	1.77759077642005e-005,1.93662328428947e-004
4.67735141287197e+001	1.86063343589932e-005,1.98095304756038e-004
4.78630092322638e+001	1.94751974114959e-005,2.02626027259601e-004
4.89778819368445e+001	2.03842417577481e-005,2.07256386710052e-004
5.01187233627271e+001	2.13352881769619e-005,2.11988291285521e-004
5.12861383991364e+001	2.23302363841163e-005,2.16823665188628e-004
5.24807460249772e+001	2.33710681099227e-005,2.21764447116809e-004
5.37031796370252e+001	2.44598502675207e-005,2.26812588576200e-004
5.49540873857624e+001	2.55987382048317e-005,2.31970052028559e-004
5.62341325190348e+001	2.67899790410171e-005,2.37238808860189e-004
5.75439937337156e+001	2.80359150849526e-005,2.42620837161244e-004
