%
% Hier sollen die Messdaten eingetragen werden.
% Formatierung wie in LaTeX, also für jede Zeile:
% "<Wert> & <Wert> & <Wert> & <Wert> & <Wert> & <Wert>\\"
%
    10 & 19,36 &  1,04 & 168000,0 & -25,397440 & 60,480 \\
    20 & 20,16 &  1,49 &  60000,0 & -22,626085 & 43,200 \\
    30 & 20,32 &  1,66 &  32000,0 & -21,756312 & 34,560 \\
    40 & 20,48 &  1,73 &  24000,0 & -21,465677 & 34,560 \\
    50 & 20,48 &  1,81 &  18000,0 & -21,073028 & 32,400 \\
    60 & 20,64 &  1,86 &  15200,0 & -20,903935 & 32,832 \\
    70 & 20,80 &  1,95 &  13600,0 & -20,560574 & 34,272 \\
    80 & 20,96 &  2,01 &  13200,0 & -20,363904 & 38,016 \\
    90 & 21,12 &  2,08 &  12000,0 & -20,132612 & 38,880 \\
   100 & 21,28 &  2,19 &  11200,0 & -19,750550 & 40,320 \\
   200 & 20,80 &  2,93 &   6800,0 & -17,023914 & 48,960 \\
   300 & 20,64 &  3,68 &   5000,0 & -14,977237 & 54,000 \\
   400 & 20,64 &  4,56 &   4000,0 & -13,114897 & 57,600 \\
   500 & 20,64 &  5,44 &   3120,0 & -11,582216 & 56,160 \\
   600 & 20,64 &  6,28 &   2560,0 & -10,335001 & 55,296 \\
   700 & 20,64 &  7,08 &   2240,0 &  -9,293529 & 56,448 \\
   800 & 20,64 &  7,80 &   1840,0 &  -8,452302 & 52,992 \\
   900 & 20,48 &  8,48 &   1600,0 &  -7,658682 & 51,840 \\
  1000 & 20,48 &  9,12 &   1440,0 &  -7,026702 & 51,840 \\
  2000 & 20,48 & 12,96 &    480,0 &  -3,974499 & 34,560 \\
  3000 & 20,64 & 14,56 &    240,0 &  -3,030966 & 25,920 \\
  4000 & 20,64 & 15,20 &    140,0 &  -2,657322 & 20,160 \\
  5000 & 20,48 & 15,52 &     88,0 &  -2,408765 & 15,840 \\
  6000 & 20,48 & 15,76 &     64,0 &  -2,275475 & 13,824 \\
  7000 & 20,48 & 15,84 &     56,0 &  -2,231496 & 14,112 \\
  8000 & 20,64 & 16,16 &     36,0 &  -2,125367 & 10,368 \\
  9000 & 20,48 & 16,32 &     32,0 &  -1,972196 & 10,368 \\
 10000 & 20,48 & 16,32 &     28,0 &  -1,972196 & 10,080 \\
 20000 & 20,32 & 16,32 &      8,0 &  -1,904071 &  5,760 \\
 30000 & 20,32 & 16,32 &      3,2 &  -1,904071 &  3,456 \\
 40000 & 20,32 & 16,32 &      2,8 &  -1,904071 &  4,032 \\
 50000 & 20,32 & 16,32 &      1,6 &  -1,904071 &  2,880 \\
 60000 & 20,00 & 16,32 &      1,6 &  -1,766197 &  3,456 \\
 70000 & 20,00 & 16,32 &      0,6 &  -1,766197 &  1,512 \\
 80000 & 20,08 & 16,32 &      0,4 &  -1,800871 &  1,152 \\
 90000 & 20,00 & 16,48 &      0,8 &  -1,681456 &  2,592 \\
100000 & 20,00 & 16,48 &      0,6 &  -1,681456 &  2,160 \\
